dataset,policy,lambda_ref,stratum,n_cal_q,q,delta_hat,detected,n_req_heuristic
mnist,eps_greedy_eps0.25,0.5,0,2637.0,0.2092857142857143,-0.07769699999999999,0,nan
mnist,eps_greedy_eps0.25,0.5,1,1317.5,0.10456349206349207,-0.08421999999999999,0,nan
mnist,eps_greedy_eps0.25,0.5,2,3534.5,0.280515873015873,-0.08326599999999999,0,nan
mnist,eps_greedy_eps0.25,0.5,3,2435.5,0.1932936507936508,-0.07841999999999999,0,nan
mnist,eps_greedy_eps0.25,0.5,4,2675.5,0.21234126984126983,-0.034175,0,nan
mnist,eps_greedy_eps0.25,0.7,0,2059.5,0.16345238095238096,-0.09415799999999999,0,nan
mnist,eps_greedy_eps0.25,0.7,1,2934.0,0.23285714285714285,-0.095689,0,nan
mnist,eps_greedy_eps0.25,0.7,2,2714.5,0.21543650793650793,-0.09093199999999999,0,nan
mnist,eps_greedy_eps0.25,0.7,3,2179.0,0.17293650793650794,-0.081872,0,nan
mnist,eps_greedy_eps0.25,0.7,4,2713.0,0.21531746031746032,0.0030920000000000114,1,120422.24587603849
mnist,eps_greedy_eps0.25,0.9,0,2369.5,0.18805555555555556,-0.11488699999999999,0,nan
mnist,eps_greedy_eps0.25,0.9,1,2775.5,0.22027777777777777,-0.120033,0,nan
mnist,eps_greedy_eps0.25,0.9,2,2640.5,0.20956349206349206,-0.114742,0,nan
mnist,eps_greedy_eps0.25,0.9,3,1967.0,0.15611111111111112,-0.122456,0,nan
mnist,eps_greedy_eps0.25,0.9,4,2847.5,0.2259920634920635,0.09373400000000001,1,131.03623072926553
mnist,eps_greedy_eps0.5,0.5,0,2499.5,0.19837301587301587,-0.081798,0,nan
mnist,eps_greedy_eps0.5,0.5,1,2293.5,0.18202380952380953,-0.08967,0,nan
mnist,eps_greedy_eps0.5,0.5,2,2174.5,0.17257936507936508,-0.08062799999999999,0,nan
mnist,eps_greedy_eps0.5,0.5,3,2526.5,0.200515873015873,-0.080244,0,nan
mnist,eps_greedy_eps0.5,0.5,4,3106.0,0.2465079365079365,-0.033657999999999993,0,nan
mnist,eps_greedy_eps0.5,0.7,0,2326.0,0.1846031746031746,-0.09791,0,nan
mnist,eps_greedy_eps0.5,0.7,1,2144.0,0.17015873015873015,-0.09792,0,nan
mnist,eps_greedy_eps0.5,0.7,2,2712.5,0.2152777777777778,-0.09460099999999999,0,nan
mnist,eps_greedy_eps0.5,0.7,3,2906.5,0.23067460317460317,-0.08176699999999999,0,nan
mnist,eps_greedy_eps0.5,0.7,4,2511.0,0.1992857142857143,0.016252000000000016,1,4358.85142236842
mnist,eps_greedy_eps0.5,0.9,0,2389.5,0.18964285714285714,-0.122652,0,nan
mnist,eps_greedy_eps0.5,0.9,1,2681.0,0.2127777777777778,-0.12789499999999998,0,nan
mnist,eps_greedy_eps0.5,0.9,2,2437.0,0.19341269841269842,-0.12318599999999999,0,nan
mnist,eps_greedy_eps0.5,0.9,3,2087.0,0.16563492063492063,-0.122483,0,nan
mnist,eps_greedy_eps0.5,0.9,4,3005.5,0.23853174603174604,0.10400899999999999,1,106.42504716977557
mnist,greedy_entropy,0.5,0,2152.0,0.1707936507936508,-0.085023,0,nan
mnist,greedy_entropy,0.5,1,1580.0,0.1253968253968254,-0.073515,0,nan
mnist,greedy_entropy,0.5,2,2696.5,0.2140079365079365,-0.08501199999999999,0,nan
mnist,greedy_entropy,0.5,3,2951.5,0.23424603174603176,-0.079541,0,nan
mnist,greedy_entropy,0.5,4,3220.0,0.25555555555555554,-0.040215,0,nan
mnist,greedy_entropy,0.7,0,2111.0,0.16753968253968254,-0.09010099999999999,0,nan
mnist,greedy_entropy,0.7,1,3119.0,0.24753968253968253,-0.091833,0,nan
mnist,greedy_entropy,0.7,2,2038.0,0.16174603174603175,-0.08654099999999999,0,nan
mnist,greedy_entropy,0.7,3,2644.0,0.20984126984126983,-0.077342,0,nan
mnist,greedy_entropy,0.7,4,2688.0,0.21333333333333335,-0.012942999999999982,0,nan
mnist,greedy_entropy,0.9,0,2453.0,0.19468253968253968,-0.11030299999999998,0,nan
mnist,greedy_entropy,0.9,1,2576.0,0.20444444444444446,-0.109626,0,nan
mnist,greedy_entropy,0.9,2,2745.0,0.21785714285714286,-0.11505299999999999,0,nan
mnist,greedy_entropy,0.9,3,2086.5,0.1655952380952381,-0.12314599999999999,0,nan
mnist,greedy_entropy,0.9,4,2739.5,0.21742063492063493,0.08827000000000002,1,147.76087011643313
mnist,greedy_entropy,0.5,0,1572.5,0.1248015873015873,-0.11127400000000001,0,nan
mnist,greedy_entropy,0.5,1,3270.0,0.25952380952380955,-0.10619400000000001,0,nan
mnist,greedy_entropy,0.5,2,1423.0,0.11293650793650793,-0.10898300000000001,0,nan
mnist,greedy_entropy,0.5,3,2289.0,0.18166666666666667,-0.100193,0,nan
mnist,greedy_entropy,0.5,4,4045.5,0.32107142857142856,-0.03872300000000001,0,nan
mnist,greedy_entropy,0.7,0,1846.0,0.1465079365079365,-0.12083400000000001,0,nan
mnist,greedy_entropy,0.7,1,1757.5,0.139484126984127,-0.10342200000000001,0,nan
mnist,greedy_entropy,0.7,2,2978.0,0.23634920634920634,-0.13081800000000002,0,nan
mnist,greedy_entropy,0.7,3,2271.0,0.18023809523809523,-0.09854500000000001,0,nan
mnist,greedy_entropy,0.7,4,3747.5,0.2974206349206349,-0.011918000000000012,0,nan
mnist,greedy_entropy,0.9,0,1650.5,0.1309920634920635,-0.14725000000000002,0,nan
mnist,greedy_entropy,0.9,1,1937.5,0.15376984126984128,-0.151422,0,nan
mnist,greedy_entropy,0.9,2,2546.0,0.20206349206349206,-0.147173,0,nan
mnist,greedy_entropy,0.9,3,2567.0,0.20373015873015873,-0.143132,0,nan
mnist,greedy_entropy,0.9,4,3899.0,0.30944444444444447,0.057483000000000006,1,348.42302088729053
mnist,greedy_entropy,0.5,0,2049.0,0.1626190476190476,-0.06533499999999999,0,nan
mnist,greedy_entropy,0.5,1,1480.0,0.11746031746031746,-0.070907,0,nan
mnist,greedy_entropy,0.5,2,2943.5,0.2336111111111111,-0.07114,0,nan
mnist,greedy_entropy,0.5,3,3236.0,0.25682539682539685,-0.053100999999999995,0,nan
mnist,greedy_entropy,0.5,4,2891.5,0.22948412698412698,-0.024148000000000003,0,nan
mnist,greedy_entropy,0.7,0,1511.0,0.11992063492063491,-0.070324,0,nan
mnist,greedy_entropy,0.7,1,2729.5,0.21662698412698414,-0.081038,0,nan
mnist,greedy_entropy,0.7,2,2676.0,0.2123809523809524,-0.077133,0,nan
mnist,greedy_entropy,0.7,3,2906.5,0.23067460317460317,-0.057461,0,nan
mnist,greedy_entropy,0.7,4,2777.0,0.2203968253968254,0.004130999999999996,1,67464.49954366239
mnist,greedy_entropy,0.9,0,2200.0,0.1746031746031746,-0.09448399999999998,0,nan
mnist,greedy_entropy,0.9,1,3336.0,0.26476190476190475,-0.091441,0,nan
mnist,greedy_entropy,0.9,2,2523.5,0.20027777777777778,-0.09953999999999999,0,nan
mnist,greedy_entropy,0.9,3,1944.0,0.15428571428571428,-0.10280299999999999,0,nan
mnist,greedy_entropy,0.9,4,2596.5,0.20607142857142857,0.10794499999999999,1,98.80538885719697
mnist,random,0.5,0,2011.0,0.1596031746031746,-0.09351699999999999,0,nan
mnist,random,0.5,1,2292.0,0.1819047619047619,-0.09817499999999998,0,nan
mnist,random,0.5,2,3100.0,0.24603174603174602,-0.080122,0,nan
mnist,random,0.5,3,2265.5,0.1798015873015873,-0.071754,0,nan
mnist,random,0.5,4,2931.5,0.23265873015873015,-0.023208000000000006,0,nan
mnist,random,0.7,0,2446.5,0.19416666666666665,-0.11638,0,nan
mnist,random,0.7,1,2106.0,0.16714285714285715,-0.10846499999999999,0,nan
mnist,random,0.7,2,2988.0,0.23714285714285716,-0.100683,0,nan
mnist,random,0.7,3,2306.5,0.18305555555555555,-0.08357099999999999,0,nan
mnist,random,0.7,4,2753.0,0.2184920634920635,0.04309000000000002,1,620.0585564067749
mnist,random,0.9,0,2205.0,0.175,-0.137709,0,nan
mnist,random,0.9,1,2894.5,0.22972222222222222,-0.13369599999999998,0,nan
mnist,random,0.9,2,2297.0,0.1823015873015873,-0.134051,0,nan
mnist,random,0.9,3,1666.5,0.13226190476190477,-0.128279,0,nan
mnist,random,0.9,4,3537.0,0.2807142857142857,0.09594,1,125.0795369440414
mnist,random,0.5,0,1608.5,0.12765873015873017,-0.11922700000000001,0,nan
mnist,random,0.5,1,2376.5,0.18861111111111112,-0.12501600000000002,0,nan
mnist,random,0.5,2,2257.5,0.17916666666666667,-0.11250500000000001,0,nan
mnist,random,0.5,3,2981.5,0.23662698412698413,-0.08188900000000002,0,nan
mnist,random,0.5,4,3376.0,0.2679365079365079,-0.022763000000000005,0,nan
mnist,random,0.7,0,1807.0,0.1434126984126984,-0.148952,0,nan
mnist,random,0.7,1,1863.0,0.14785714285714285,-0.141827,0,nan
mnist,random,0.7,2,2689.5,0.21345238095238095,-0.11978100000000001,0,nan
mnist,random,0.7,3,2642.0,0.2096825396825397,-0.09098800000000001,0,nan
mnist,random,0.7,4,3598.5,0.28559523809523807,0.009881000000000001,1,11791.90290268406
mnist,random,0.9,0,1719.5,0.13646825396825396,-0.180807,0,nan
mnist,random,0.9,1,2158.5,0.1713095238095238,-0.169719,0,nan
mnist,random,0.9,2,2127.0,0.1688095238095238,-0.156207,0,nan
mnist,random,0.9,3,1919.0,0.1523015873015873,-0.15932300000000002,0,nan
mnist,random,0.9,4,4676.0,0.3711111111111111,0.05757099999999998,1,347.3586727859831
mnist,random,0.5,0,2623.0,0.20817460317460318,-0.08630099999999999,0,nan
mnist,random,0.5,1,2530.0,0.2007936507936508,-0.07234199999999999,0,nan
mnist,random,0.5,2,2931.5,0.23265873015873015,-0.061230999999999994,0,nan
mnist,random,0.5,3,2395.0,0.19007936507936507,-0.045924999999999994,0,nan
mnist,random,0.5,4,2120.5,0.1682936507936508,0.0038910000000000056,1,76043.69852689197
mnist,random,0.7,0,2722.0,0.21603174603174602,-0.10498099999999999,0,nan
mnist,random,0.7,1,2580.0,0.20476190476190476,-0.086726,0,nan
mnist,random,0.7,2,2708.0,0.21492063492063493,-0.07675,0,nan
mnist,random,0.7,3,2263.5,0.17964285714285713,-0.05184499999999999,0,nan
mnist,random,0.7,4,2326.5,0.18464285714285714,0.06306600000000001,1,289.4643738617223
mnist,random,0.9,0,2903.5,0.23043650793650794,-0.133269,0,nan
mnist,random,0.9,1,2330.0,0.18492063492063493,-0.12155099999999999,0,nan
mnist,random,0.9,2,2359.5,0.18726190476190477,-0.113938,0,nan
mnist,random,0.9,3,1356.5,0.10765873015873016,-0.116519,0,nan
mnist,random,0.9,4,3650.5,0.2897222222222222,0.11629799999999998,1,85.1218787991262
mnist[margin],greedy_entropy,0.5,0,1770.0,0.14047619047619048,-0.08956599999999999,0,nan
mnist[margin],greedy_entropy,0.5,1,2653.5,0.21059523809523809,-0.085224,0,nan
mnist[margin],greedy_entropy,0.5,2,3043.0,0.2415079365079365,-0.088478,0,nan
mnist[margin],greedy_entropy,0.5,3,2441.0,0.19373015873015872,-0.07601799999999999,0,nan
mnist[margin],greedy_entropy,0.5,4,2692.5,0.21369047619047618,-0.019700999999999996,0,nan
mnist[margin],greedy_entropy,0.7,0,2310.5,0.18337301587301588,-0.09487499999999999,0,nan
mnist[margin],greedy_entropy,0.7,1,2652.5,0.21051587301587302,-0.09983999999999998,0,nan
mnist[margin],greedy_entropy,0.7,2,2252.0,0.17873015873015874,-0.09237799999999999,0,nan
mnist[margin],greedy_entropy,0.7,3,2785.0,0.22103174603174602,-0.08172399999999999,0,nan
mnist[margin],greedy_entropy,0.7,4,2600.0,0.20634920634920634,0.010909000000000002,1,9674.21666169891
mnist[margin],greedy_entropy,0.9,0,2388.5,0.18956349206349207,-0.114574,0,nan
mnist[margin],greedy_entropy,0.9,1,2663.0,0.21134920634920634,-0.118056,0,nan
mnist[margin],greedy_entropy,0.9,2,2687.0,0.21325396825396825,-0.13755699999999998,0,nan
mnist[margin],greedy_entropy,0.9,3,711.5,0.056468253968253966,-0.140667,0,nan
mnist[margin],greedy_entropy,0.9,4,4150.0,0.32936507936507936,0.043866000000000016,1,598.3146329084349
tabular-MiniBooNE,eps_greedy_eps0.25,0.5,1,23411.5,1.0,-0.06869399999999999,0,nan
tabular-MiniBooNE,eps_greedy_eps0.25,0.7,1,23411.5,1.0,-0.06869399999999999,0,nan
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,0,4113.0,0.17568289088695727,-0.129447,0,nan
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,1,5146.0,0.21980650534993487,-0.119906,0,nan
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,2,4707.0,0.20105503705443906,-0.097662,0,nan
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,3,4733.0,0.20216560237490122,-0.084947,0,nan
tabular-MiniBooNE,eps_greedy_eps0.25,0.9,4,4712.5,0.20128996433376758,0.075214,1,203.51120300117907
tabular-MiniBooNE,eps_greedy_eps0.5,0.5,1,23411.5,1.0,-0.06869399999999999,0,nan
tabular-MiniBooNE,eps_greedy_eps0.5,0.7,1,23411.5,1.0,-0.06869399999999999,0,nan
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,0,4156.5,0.17754095209619206,-0.124087,0,nan
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,1,4062.0,0.17350447429681995,-0.119387,0,nan
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,2,5261.5,0.2247399782158341,-0.103096,0,nan
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,3,5365.5,0.22918223949768277,-0.08592999999999999,0,nan
tabular-MiniBooNE,eps_greedy_eps0.5,0.9,4,4566.0,0.19503235589347115,0.07597500000000001,1,199.4547004327353
tabular-MiniBooNE,greedy_entropy,0.5,1,23411.5,1.0,-0.06869399999999999,0,nan
tabular-MiniBooNE,greedy_entropy,0.7,1,23411.5,1.0,-0.06869399999999999,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,0,3672.5,0.15686735151528095,-0.13602,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,1,4431.5,0.1892873160626188,-0.12032999999999999,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,2,4761.5,0.2033829528223309,-0.099379,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,3,5956.0,0.25440488648741005,-0.083796,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,4,4590.0,0.19605749311235932,0.076189,1,198.3358155185491
tabular-MiniBooNE,greedy_entropy,0.5,1,23411.5,1.0,-0.067343,0,nan
tabular-MiniBooNE,greedy_entropy,0.7,1,23411.5,1.0,-0.067343,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,0,592.0,0.02528671806590778,-0.13738799999999998,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,1,5255.5,0.22448369391111206,-0.137135,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,2,7656.5,0.3270401298507144,-0.09909499999999999,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,3,5214.0,0.2227110608034513,-0.07033199999999999,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,4,4693.5,0.20047839736881448,0.06559600000000002,1,267.56603232584087
tabular-MiniBooNE,greedy_entropy,0.5,1,23411.5,1.0,-0.06313999999999999,0,nan
tabular-MiniBooNE,greedy_entropy,0.7,1,23411.5,1.0,-0.06313999999999999,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,0,1229.0,0.052495568417230846,-0.130852,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,1,7537.0,0.3219358007816671,-0.13091999999999998,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,2,2768.0,0.11823249257843367,-0.101765,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,3,7134.5,0.3047433953398971,-0.074017,0,nan
tabular-MiniBooNE,greedy_entropy,0.9,4,4743.0,0.2025927428827713,0.0917,1,136.91373611701698
tabular-MiniBooNE,random,0.5,1,23411.5,1.0,-0.06869399999999999,0,nan
tabular-MiniBooNE,random,0.7,1,23411.5,1.0,-0.06869399999999999,0,nan
tabular-MiniBooNE,random,0.9,0,3007.0,0.1284411507165282,-0.11036599999999999,0,nan
tabular-MiniBooNE,random,0.9,1,5594.0,0.23894240010251372,-0.11330599999999999,0,nan
tabular-MiniBooNE,random,0.9,2,5302.0,0.22646989727270786,-0.10491299999999999,0,nan
tabular-MiniBooNE,random,0.9,3,4796.0,0.20485658757448263,-0.09540699999999999,0,nan
