cell,alpha,delta,n_resplits,abstentions,pool_viol,pool_lo,pool_hi,pool_gate,test_viol,test_lo,test_hi,test_gate,mean_margin_alpha_minus_Rpool,mean_R_pool_at_lambda,corr_Rcal_Rtest_fixed_lambda,corr_Rcal_at_hat_vs_test_excess
mnist/eps_greedy_eps0.25/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.11,0.06254131955225126,0.18631463027903022,FAIL,0.008025793650793638,0.14197420634920632,-1.0,0.06170769749524712
mnist/eps_greedy_eps0.5/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.14,0.08526265754464905,0.22137360383807236,FAIL,0.008393650793650786,0.14160634920634924,-0.9999999999999998,-0.15529055517648843
mnist/greedy_entropy/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.02,0.005501852234968185,0.07001316294199365,PASS,0.00854841269841269,0.14145158730158733,-1.0,-0.18961011577986936
mnist/greedy_entropy/ts0[margin],0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.007772619047619045,0.14222738095238094,-0.9999999999999998,0.1571199501472733
mnist/random/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.008339682539682538,0.14166031746031743,-1.0,-0.18554023835005998
mnist/greedy_entropy/ts1,0.2,0.1,100,0,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.009423412698412723,0.19057658730158736,-1.0,0.2303594355173084
mnist/random/ts1,0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.06,0.02778574526665662,0.12476968531222507,FAIL,0.009023809523809533,0.19097619047619055,-1.0,0.0387680854593812
mnist/greedy_entropy/ts2,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.06,0.02778574526665662,0.12476968531222507,FAIL,0.011769047619047618,0.13823095238095232,-1.0,-0.39224507572837725
mnist/random/ts2,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.008594841269841261,0.14140515873015871,-0.9999999999999998,0.16526147948840456
tabular-MiniBooNE/eps_greedy_eps0.25/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.08,0.04109296948581091,0.14998266879403072,FAIL,0.006977553766311435,0.14302244623368854,-0.9999999999999999,-0.5081472690149064
tabular-MiniBooNE/eps_greedy_eps0.5/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.008248723917732736,0.14175127608226726,-0.9999999999999993,-0.89141351976429
tabular-MiniBooNE/greedy_entropy/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.017436943382525688,0.13256305661747428,-0.9999999999999998,-1.0
tabular-MiniBooNE/greedy_entropy/ts0[margin],0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.017436943382525688,0.13256305661747428,-0.9999999999999998,-1.0
tabular-MiniBooNE/random/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.006756722123742604,0.1432432778762574,-1.0,0.22467198985344547
tabular-MiniBooNE/greedy_entropy/ts1,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.05,0.02154336145631356,0.11175196527208817,FAIL,0.007339341776477375,0.1426606582235226,-0.9999999999999997,0.11619289411496696
tabular-MiniBooNE/random/ts1,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.0071001430920701325,0.14289985690792992,-0.9999999999999994,0.4712462026121912
tabular-MiniBooNE/greedy_entropy/ts2,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.010453196078850117,0.13954680392114982,-0.9999999999999997,-0.9999999999999996
tabular-MiniBooNE/random/ts2,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.007087328876834036,0.14291267112316597,-1.0,0.4260394497673455
tabular-adult/eps_greedy_eps0.25/ts0,0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.03470515970515972,0.1652948402948403,-1.0,-1.0
tabular-adult/eps_greedy_eps0.5/ts0,0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.028316953316953324,0.17168304668304665,-0.9999999999999996,-0.9999999999999991
tabular-adult/greedy_entropy/ts0,0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.038759213759213755,0.16124078624078628,-1.0,-1.0
tabular-adult/greedy_entropy/ts0[margin],0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.03882063882063882,0.1611793611793612,-1.0,-1.0
tabular-adult/random/ts0,0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.01701474201474201,0.18298525798525803,-1.0,-1.0
tabular-adult/greedy_entropy/ts1,0.25,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.08556511056511053,0.1644348894348895,-1.0,-1.0
tabular-adult/random/ts1,0.25,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.04785012285012284,0.20214987714987717,-1.0,-1.0
tabular-adult/greedy_entropy/ts2,0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.013452088452088461,0.18654791154791148,-1.0,0.34930114979141924
tabular-adult/random/ts2,0.2,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.0,0.0,0.03699480747600191,PASS,0.012527027027027042,0.18747297297297294,-1.0,-0.9387125073327829
tabular-spambase/eps_greedy_eps0.25/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.09,0.04807199516388488,0.16226374696643667,FAIL,0.02420893719806762,0.1257910628019324,-1.0,0.019598225532505724
tabular-spambase/eps_greedy_eps0.5/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.05,0.02154336145631356,0.11175196527208817,FAIL,0.025422705314009655,0.1245772946859903,-1.0,0.21140733686277685
tabular-spambase/greedy_entropy/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.03,0.010254338223414816,0.08452078080402699,PASS,0.02480676328502415,0.12519323671497584,-0.9999999999999999,-0.2241508535573145
tabular-spambase/random/ts0,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.11,0.06254131955225126,0.18631463027903022,FAIL,0.025247584541062806,0.12475241545893717,-1.0,-0.257627533138851
tabular-spambase/greedy_entropy/ts1,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.1,0.05522854161313613,0.1743673043676654,FAIL,0.02675724637681159,0.1232427536231884,-0.9999999999999996,0.09390354877810092
tabular-spambase/random/ts1,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.06,0.02778574526665662,0.12476968531222507,FAIL,0.0253683574879227,0.1246316425120773,-0.9999999999999996,-0.11135366811849068
tabular-spambase/greedy_entropy/ts2,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.03,0.010254338223414816,0.08452078080402699,PASS,0.026696859903381633,0.12330314009661836,-0.9999999999999999,0.3255255100805154
tabular-spambase/random/ts2,0.15,0.1,100,0,0.0,0.0,0.03699480747600191,PASS,0.01,0.0017673865655472645,0.0544875247609346,PASS,0.027759661835748784,0.1222403381642512,-0.9999999999999996,-0.5524000663373339
